0 0 0 0 0 0 0 0 0
2 1.4012 0.894338 0.834552 0.617902 1.58863 0.880449 1.78041 0.861691
5 2.01252 1.6896 1.00794 0.889933 2.41753 1.79921 2.61212 1.73273
10 3.22638 2.35946 2.39574 2.28343 3.49691 2.23549 3.7865 2.32653
15 4.16742 3.4646 3.33754 3.74958 4.54974 3.17912 4.61499 3.28772
20 5.53911 4.73067 3.82324 4.5072 6.19052 4.4432 6.60355 4.75175
30 7.13489 5.02 5.8628 4.9905 7.77616 4.92613 7.76571 4.89918
35 8.21953 4.61359 6.90184 4.60214 8.90528 4.499 8.85147 4.45298
40 9.03918 4.44635 7.74208 4.41021 9.70625 4.31411 9.6692 4.32714
45 10.1535 4.51032 8.73593 4.37263 10.8916 4.4386 10.8331 4.38085
50 11.0178 4.44039 9.64559 4.30834 11.7375 4.3578 11.6704 4.33268
60 13.3612 4.54986 11.8265 4.3003 14.1763 4.50693 14.0808 4.44539
70 14.9625 4.48885 13.5538 4.3459 15.7429 4.43291 15.5907 4.35012
80 16.9477 4.71353 15.5066 4.51791 17.739 4.6913 17.5973 4.5943
90 18.7632 4.91296 17.3256 4.7175 19.5604 4.90988 19.4036 4.7893
100 20.5791 4.53292 19.171 4.36946 21.3673 4.50079 21.199 4.3937
120 25.2408 7.15043 23.9007 6.91656 26.041 7.26466 25.7807 7.0742
140 28.6888 5.06115 27.0993 4.73933 29.5997 5.08616 29.3676 4.96975
160 31.9653 5.23681 30.4059 4.92176 32.8649 5.27037 32.6252 5.15707
180 35.5091 5.6323 33.9979 5.36946 36.3944 5.67097 36.135 5.54239
200 39.4172 5.91763 37.875 5.6452 40.3328 6.00032 40.0438 5.79428
