0 0 0 0 0 0 0 0 0
1 47.9969 5.39066 47.6208 5.39083 48.2289 5.26819 48.141 5.49059
5 15.7735 2.38125 15.1194 2.28998 16.1088 2.3601 16.0923 2.35693
10 11.7645 2.65576 10.9946 2.55925 12.1464 2.62006 12.1526 2.61832
15 11.2227 3.63619 10.1715 3.39079 11.7643 3.66186 11.7325 3.61949
20 11.0496 4.39143 9.68964 4.29359 11.7294 4.27756 11.7297 4.2834
25 10.9973 5.83836 9.28188 5.58073 11.9238 5.82592 11.7862 5.72274
30 11.6842 7.50186 9.42149 7.1244 12.9421 7.4976 12.6891 7.35872
35 11.2224 8.52853 8.77299 8.28854 12.4948 8.41522 12.3995 8.34789
40 11.3702 9.78306 8.33663 9.25627 13.0068 9.68504 12.7672 9.68575
45 11.4106 10.8844 7.83181 10.0652 13.2708 10.7756 13.1294 10.898
50 11.6748 11.8217 7.62733 10.6188 13.5943 11.7038 13.8027 12.0384
60 11.6898 12.5289 8.59321 13.1068 13.4945 12.0995 12.9817 11.7565
70 11.6822 12.9506 7.95878 12.9547 13.852 12.726 13.2359 12.3447
80 11.9897 13.2471 7.93133 13.0722 14.3451 13.2079 13.6925 12.4982
90 12.5734 12.9104 7.49483 12.1167 15.4278 12.6819 14.7975 12.3897
100 12.554 13.4037 7.66007 12.6794 15.0987 12.9989 14.9031 13.1641
