0 0 0 0 0 0 0 0 0
1 48.5431 6.53232 48.1422 6.62197 48.7541 6.43283 48.7328 6.52233
5 14.4594 4.50963 14.0049 4.45403 14.636 4.71981 14.7371 4.31049
10 12.2532 5.56337 11.2436 5.11255 12.7137 5.65879 12.8022 5.75851
15 11.6513 3.9051 10.5148 3.78494 12.2084 3.79815 12.2306 3.88076
20 11.1605 5.11742 9.6983 4.95287 11.933 5.05407 11.8502 5.0278
25 11.133 4.71276 9.79132 4.72833 11.8504 4.58105 11.7574 4.5368
30 11.4196 5.08168 10.1006 5.18633 12.1458 4.93874 12.0126 4.85412
35 11.4566 5.14845 10.176 5.3575 12.1673 4.9794 12.0264 4.8531
40 12.004 6.31838 10.1739 5.61386 12.9599 6.44712 12.8781 6.45428
45 12.2078 5.60903 10.7267 5.63933 12.983 5.4515 12.9136 5.43783
50 11.9506 5.15496 9.98856 4.55679 12.802 4.91907 13.0613 5.38063
60 12.9079 5.86118 11.3284 6.12815 13.7419 5.56599 13.6535 5.54792
70 12.3121 5.82695 10.7977 6.13547 13.1288 5.60419 13.0099 5.41865
80 13.5222 7.01419 10.8658 5.71109 14.8305 7.17017 14.8704 7.27893
90 12.8529 5.72644 10.9437 5.6113 13.7939 5.45857 13.8212 5.62366
100 12.8738 5.35272 10.7943 4.9692 13.9319 5.23167 13.8952 5.23493
