0 0 0 0
2 1419.19761905 64.3557791022 1477.42
5 2473.49761905 115.062648025 3693.54
10 3090.45952381 231.966605057 4434.00
15 3591.49285714 321.783431417 4434.00
20 3603.91666667 395.319570647 4434.00
25 4008.7 499.936198072 4434.00
30 4198.32380952 547.24708588 4434.00
35 4252.77142857 329.139568953 4434.00
40 4419.57142857 273.655655441 4434.00
45 4427.18809524 350.567926271 4434.00
50 4533.51190476 487.508007237 4434.00
60 4486.84285714 466.190389854 4434.00
70 4674.28571429 277.119239053 4434.00
80 4717.27142857 284.669489045 4434.00
90 4793.5547619 209.966243832 4434.00
100 4856.36904762 229.973762725 4434.00
120 4751.75 286.884894372 4434.00
140 4877.86190476 189.134377088 4434.00
160 5002.64047619 189.192748539 4434.00
180 5067.01190476 218.479014414 4434.00
200 5072.07619048 261.182458856 4434.00
