0 0 0 0 0 0 0 0 0
1 52.426 16.0988 51.8303 15.7739 52.7778 16.4225 52.67 16.0765
5 15.5949 2.36906 14.9893 2.24381 15.905 2.36395 15.8906 2.37992
10 11.7578 2.49935 10.9858 2.45054 12.1457 2.43576 12.142 2.43067
15 11.7033 4.69158 10.6969 4.65365 12.2361 4.65133 12.1768 4.60657
20 11.0123 4.47334 9.62726 4.34361 11.7308 4.39104 11.6788 4.35951
25 10.9778 4.77398 9.65227 4.68511 11.6576 4.69488 11.6235 4.66311
30 11.3335 5.40905 9.90394 5.26696 12.0809 5.35492 12.0156 5.31884
35 11.2982 6.52966 9.69022 6.17609 12.1151 6.57425 12.0894 6.5319
40 11.1575 7.92504 9.72832 7.86531 11.9018 7.8842 11.8425 7.83131
45 11.1989 8.65852 9.61835 8.50851 11.9554 8.62425 12.0229 8.62485
50 11.8312 20.7871 10.2744 20.5988 12.544 20.6471 12.6754 21.025
60 11.2776 14.2355 9.44782 13.8443 12.0793 14.2324 12.3056 14.4457
70 12.1228 16.1014 9.87732 15.6109 12.8833 16.0328 13.6078 16.4069
80 11.1801 15.1275 9.39422 14.6831 11.8584 15.0986 12.2876 15.4301
90 11.3107 16.3429 9.45125 15.8967 12.0323 16.2943 12.4486 16.6671
100 11.576 16.1674 9.37588 15.4933 12.4448 16.1753 12.9073 16.5864
