1 1.0000    1 10.7186 7.13859 10.0524 6.40649 11.0621 7.44602 11.0414 7.46499
2 1.3484    1 14.4538 12.2456 13.2288 10.8411 15.158 12.7904 14.9743 12.9023
3 1.8574    1 19.9095 11.9636 18.256 10.5696 21.1152 12.593 20.3573 12.4378
4 2.3885    1 25.6017 13.5556 23.2811 11.9848 27.6304 14.3428 25.8938 13.8683
5 2.8323    1 30.3587 14.6179 27.4973 12.9203 33.0047 15.484 30.5742 14.803
9 5.0179    1 53.7855 23.2153 46.6904 18.6931 61.772 25.4515 52.8905 22.4626
