0 0 0 0 0 0 0 0 0
1 11.272 5.13726 9.78288 4.69748 12.0375 5.23363 11.9956 5.13714
500 11.647 5.08776 10.3911 5.02953 12.2788 4.9893 12.2712 5.01004
1000 13.8434 8.84454 12.454 7.98819 14.5427 9.07038 14.5334 9.25737
5000 14.0463 28.422 11.253 20.3465 15.7424 32.0158 15.1436 31.1858
10000 17.7995 46.9636 13.3223 34.2196 20.7757 52.0278 19.3005 52.0357
20000 21.4081 48.5774 15.4331 36.1709 26.0782 53.3671 22.713 53.5136
30000 28.397 74.7942 19.4691 55.8176 35.0645 81.015 30.6574 83.5117
40000 32.2603 73.7745 22.2873 58.9083 41.1385 79.1393 33.3551 80.0959
50000 41.7553 106.536 27.8765 85.1736 54.6779 115.641 42.7114 114.287
100000 79.7686 155.912 49.8098 132.679 121.673 177.649 67.8236 144.798
150000 121 192.281 60.781 140.269 208 229.667 94.2098 163.024
200000 169.999 230.247 75.2135 147.159 304.199 275.507 130.552 181.436
500000 532.063 430.142 252.439 264.752 938.883 364.292 405.116 304.099
1000000 1146.8 786.268 507.133 382.042 2032.84 527.611 901.7 420.242
