0 0 0
1  1509 613.033441176
2  2059 164.289378841
3  2027 181.074570274
4  1988 193.380454028
5  1954 151.182009512
6  2019 182.408881363
7  2003 175.231275747
8  1995 176.133472117
9  2012 189.968418428
10  1977 160.312195419
11  2012 189.095214112
12  2022 180.39955654
13  2009 181.165670037
14  2017 186.171963518
15  2000 179.574497076
16  2020 177.451401798
17  2015 176.966098448
18  2006 186.123614837
19  2019 187.36328349
20  2006 176.841737155
21  2008 190.614794809
22  2006 174.163716083
23  2002 191.744621828
24  2005 174.516474867
25  1996 178.117938457
26  2003 191.960933526
27  2014 183.619171112
28  2015 189.208879284
29  2009 196.634178107
30  1987 164.322852945
31  2009 177.876361555
32  1998 182.131820394
33  2010 181.559907469
34  2005 174.195292703
35  1990 166.033129224
36  2004 183.234822018
37  1979 180.272016686
38  1993 188.568290017
39  2003 190.039469585
40  1980 169.0
41  2014 197.815570671
42  2016 185.607111933
43  2012 181.165670037
44  2009 197.828208302
45  1983 168.834238234
46  1994 177.817321991
47  2008 188.077111845
48  2014 187.821723983
49  1995 189.74193
50  2001 194.689496378
51  2001 176.468127434
52  2017 193.754999935
53  2018 195.102537144
54  2009 184.12495757
55  2003 177.642900224
56  2010 186.820769723
57  1986 206.763149521
58  1991 208.413051415
59  2013 201.052232019
60  2156 373.313541142
