0 0 0
1  1510 611.327244608
2  2059 163.070536885
3  2027 181.91206667
4  1988 193.069935516
5  1954 151.512375732
6  2019 181.00276241
7  2003 175.328263552
8  1995 175.59897494
9  2012 190.753767984
10  1978 148.367786261
11  2012 187.203098265
12  2022 182.860602646
13  2009 181.397353895
14  2016 195.872407449
15  2000 180.74014496
16  2019 186.550261324
17  2015 177.073431096
18  2006 186.29546425
19  2019 186.499329758
20  2006 176.759723919
21  2008 190.638401168
22  2006 174.808466614
23  2002 190.892639984
24  2005 175.396693241
25  1996 179.145192512
26  2003 191.632460716
27  2014 183.182968641
28  2016 179.284689809
29  2009 196.997461913
30  1986 175.217008307
31  2009 179.047479737
32  1998 180.32747988
33  2010 183.005464399
34  2005 173.441632834
35  1990 166.29191201
36  2004 182.622561585
37  1979 180.543623537
38  1993 188.255146012
39  2003 190.494094397
40  1980 168.425057518
41  2014 198.174165824
42  2015 194.923061745
43  2012 183.17205027
44  2009 196.13005889
45  1983 169.629006953
46  1994 177.710438635
47  2008 188.89679722
48  2014 186.222984618
49  1995 191.272057552
50  2001 194.491645065
51  2001 175.513532242
52  2017 194.273003786
53  2018 197.002538055
54  2009 182.288233301
55  2003 177.758262818
56  2010 188.52320812
57  1986 204.650922304
58  1991 208.842045575
59  2013 201.442299431
60  2156 374.372808842
